# IMU Recording (MPU6050) - Movement Chain
# Start time: 2026-01-12T17:15:27.444972
# Sample rate: 100 Hz
# Port: COM3
#
timestamp,AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2026-01-12 17:15:28.460,6724,-8672,13360,-6281,-843,1332,1307
2026-01-12 17:15:28.473,7384,-9224,13492,-6608,-1123,1485,1311
2026-01-12 17:15:28.485,7336,-9956,13204,-6678,-1215,1620,1297
2026-01-12 17:15:28.497,7040,-10060,12712,-6549,-1350,1647,1296
2026-01-12 17:15:28.513,6240,-9660,13152,-6311,-1738,1863,1296
2026-01-12 17:15:28.526,4928,-9108,13868,-6177,-2867,2481,1302
2026-01-12 17:15:28.538,4160,-8696,14244,-6285,-4659,3343,1293
2026-01-12 17:15:28.551,5324,-9452,12972,-6492,-6380,4184,1300
2026-01-12 17:15:28.567,6304,-10624,11560,-6513,-7374,5038,1300
2026-01-12 17:15:28.579,7456,-11512,10532,-6337,-7411,5514,1292
2026-01-12 17:15:28.592,8168,-12048,10224,-6163,-6949,5742,1290
2026-01-12 17:15:28.604,7336,-12532,10860,-5894,-6749,5867,1298
2026-01-12 17:15:28.620,6028,-12420,11332,-5713,-7362,5963,1301
2026-01-12 17:15:28.632,5516,-12668,10704,-5638,-8554,5988,1293
2026-01-12 17:15:28.645,6952,-14208,7432,-5218,-9448,5877,1294
2026-01-12 17:15:28.657,8584,-14292,5068,-4473,-8809,5748,1293
2026-01-12 17:15:28.673,9392,-13928,4024,-3810,-7114,5721,1300
2026-01-12 17:15:28.686,9496,-13020,4120,-3577,-5263,5691,1295
2026-01-12 17:15:28.698,8128,-12008,4988,-3883,-3935,5643,1296
2026-01-12 17:15:28.710,6400,-11700,6656,-4680,-3658,5619,1293
2026-01-12 17:15:28.727,5420,-11724,7140,-5625,-4425,5504,1291
2026-01-12 17:15:28.739,5824,-13480,5656,-6158,-5250,5285,1295
2026-01-12 17:15:28.751,7048,-14848,4852,-6088,-5179,4994,1305
2026-01-12 17:15:28.764,6720,-17100,4444,-5538,-4554,4752,1288
2026-01-12 17:15:28.780,5992,-18456,4632,-4880,-3900,4384,1293
2026-01-12 17:15:28.792,5920,-18176,5060,-4141,-3484,4029,1289
2026-01-12 17:15:28.805,5872,-16820,5544,-3460,-3368,3963,1293
2026-01-12 17:15:28.817,5196,-15432,6124,-3052,-3669,4163,1298
2026-01-12 17:15:28.833,4512,-15760,6680,-3103,-4172,4204,1294
2026-01-12 17:15:28.845,3964,-16348,6788,-3296,-4812,4011,1290
2026-01-12 17:15:28.858,3432,-16832,7256,-3431,-5542,3811,1289
2026-01-12 17:15:28.870,3144,-17396,7208,-3300,-6618,3724,1293
2026-01-12 17:15:28.886,3300,-17808,6836,-2808,-7717,3700,1293
2026-01-12 17:15:28.899,3736,-17848,5648,-2113,-8587,3671,1295
2026-01-12 17:15:28.911,4236,-17616,4616,-1489,-8867,3715,1298
2026-01-12 17:15:28.923,4360,-17492,3400,-1009,-8567,3671,1289
2026-01-12 17:15:28.939,3964,-17428,2824,-788,-7819,3393,1296
2026-01-12 17:15:28.952,3584,-17512,2100,-811,-6978,2924,1290
2026-01-12 17:15:28.965,3448,-17556,1672,-932,-6084,2454,1289
2026-01-12 17:15:28.977,2864,-17008,1616,-1205,-5410,2134,1290
2026-01-12 17:15:28.993,2568,-16496,1400,-1736,-4861,1977,1290
2026-01-12 17:15:29.005,2544,-16500,1172,-2429,-4296,1881,1290
2026-01-12 17:15:29.018,2512,-16996,364,-3071,-3588,1736,1295
2026-01-12 17:15:29.030,2580,-17392,1388,-3462,-2566,1661,1290
2026-01-12 17:15:29.046,2156,-17660,1328,-3583,-1735,1659,1291
